UserID,Age,Gender,FashionType,OutfitChoice
32,23.0,Male,Edgy/Rock-inspired,"Plaid shirt, leather pants, combat boots, and spikes"
322,21.0,Female,Preppy,"Plaid skirt, cashmere sweater, and pointed-toe flats"
43,34.0,Female,Edgy/Rock-inspired,"Plaid shirt, leather pants, combat boots, and spikes"
323,12.0,Female,Minimalist,"Flowy culottes, a structured top, and mules"
56,56.0,Female,Preppy,"Plaid skirt, cashmere sweater, and pointed-toe flats"
34,32.0,Female,Bohemian/Boho Chic,"Embroidered peasant top, flared jeans, and wedges"
43,34.0,Female,Preppy,"Tailored jumpsuit, statement necklace, and stiletto pumps"
34,33.0,Female,Preppy,"Tailored jumpsuit, statement necklace, and stiletto pumps"
212,12.0,Female,Preppy,"Tailored jumpsuit, statement necklace, and stiletto pumps"
323,21,Female,Minimalist,"Cuffed chinos, a polo shirt, and loafers"
